Ligue,Équipe,Joueur,Nationalité,Poste,Taille,Poids,Âge,JIFF,Contrat,Lien Joueur,Saison,Matchs Joués,Titularisations,Essais,Points,Minutes
Top 14,Castres,Antoine TICHIT,France,Pilier,1.92 m,113 kg,38 ans,2027.0,N/A,https://www.allrugby.com/joueurs/antoine-tichit-1061.html,25/26,8,38%,0.0,0.0,449.0
Top 14,Castres,Atunaisa SOKOBALE,Fidji,Pilier,1.84 m,115 kg,21 ans,N/A,N/A,https://www.allrugby.com/joueurs/atunaisa-sokobale-18206.html,25/26,5,20%,2.0,10.0,139.0
Top 14,Castres,Aurélien AZAR,France,Pilier,1.84 m,122 kg,32 ans,2026.0,N/A,https://www.allrugby.com/joueurs/aurelien-azar-4379.html,25/26,15,33%,2.0,10.0,391.0
Top 14,Castres,Levan CHILACHAVA,Géorgie,Pilier,1.90 m,131 kg,36 ans,2027.0,N/A,https://www.allrugby.com/joueurs/levan-chilachava-1300.html,25/26,10,30%,0.0,3.0,233.0
Top 14,Castres,Loîs GUÉROIS-GALISSON,France,Pilier,1.95 m,125 kg,23 ans,2027.0,N/A,https://www.allrugby.com/joueurs/lois-guerois-galisson-13782.html,25/26,28,25%,3.0,15.0,748.0
Top 14,Castres,Nicolas CORATO,France,Pilier,1.88 m,119 kg,29 ans,2027.0,N/A,https://www.allrugby.com/joueurs/nicolas-corato-5181.html,25/26,16,63%,2.0,10.0,1235.0
Top 14,Castres,Quentin WALCKER,France,Pilier,1.81 m,104 kg,29 ans,2030.0,N/A,https://www.allrugby.com/joueurs/quentin-walcker-4339.html,25/26,9,78%,0.0,0.0,1026.0
Top 14,Castres,Will COLLIER,Angleterre,Pilier,1.89 m,121 kg,36 ans,2027.0,N/A,https://www.allrugby.com/joueurs/will-collier-2650.html,25/26,19,32%,0.0,0.0,904.0
Top 14,Castres,Loris ZARANTONELLO,France,Talonneur,1.84 m,105 kg,25 ans,2028.0,N/A,https://www.allrugby.com/joueurs/loris-zarantonello-7669.html,25/26,11,100%,3.0,15.0,378.0
Top 14,Castres,Pierre COLONNA,France,Talonneur,1.86 m,111 kg,26 ans,2028.0,N/A,https://www.allrugby.com/joueurs/pierre-colonna-9065.html,25/26,11,18%,4.0,20.0,522.0
