Équipe,Mouvement,Joueur,Nationalité,Poste,Âge,Club (Prov/Dest),Lien Joueur
Bayonne,Arrivées,Lasha MACHARASHVILI,Géorgie,Pilier,27 ans,JIFF,https://www.allrugby.com/joueurs/lasha-macharashvili-7300.html
Bayonne,Arrivées,Guillaume CRAMONT,France,Talonneur,25 ans,JIFF,https://www.allrugby.com/joueurs/guillaume-cramont-8140.html
Bayonne,Arrivées,Brian ALAINU'UESE,Samoa,2ème ligne,32 ans,NON JIFF,https://www.allrugby.com/joueurs/brian-alainu-uese-5125.html
Bayonne,Arrivées,Killian GÉRACI,France,2ème ligne,27 ans,JIFF,https://www.allrugby.com/joueurs/killian-geraci-5314.html
Bayonne,Arrivées,Matthieu UHILA,France,2ème ligne,24 ans,JIFF,https://www.allrugby.com/joueurs/matthieu-uhila-9798.html
Bayonne,Arrivées,Raphaël DARQUIER,France,3ème ligne,21 ans,ESPOIR,https://www.allrugby.com/joueurs/raphael-darquier-15049.html
Bayonne,Arrivées,Léo COLY,France,Mêlée,26 ans,JIFF,https://www.allrugby.com/joueurs/leo-coly-7290.html
Bayonne,Arrivées,Rob DU PREEZ,Afrique du sud,Ouverture,32 ans,NON JIFF,https://www.allrugby.com/joueurs/robert-du-preez-6120.html
Bayonne,Arrivées,Madosh TAMBWE,République démocratique du Congo,Ailier,29 ans,NON JIFF,https://www.allrugby.com/joueurs/michael-tambwe-6795.html
Bayonne,Arrivées,Viliame TUTUVULI,Fidji,Ailier,24 ans,JIFF,https://www.allrugby.com/joueurs/viliame-tutuvuli-13915.html
Bayonne,Départs,Pascal COTET,France,Pilier,32 ans,JIFF,https://www.allrugby.com/joueurs/pascal-cotet-1906.html
Bayonne,Départs,Vincent GIUDICELLI,France,Talonneur,29 ans,JIFF,https://www.allrugby.com/joueurs/vincent-giudicelli-4847.html
Bayonne,Départs,Alex MOON,Angleterre,2ème ligne,29 ans,NON JIFF,https://www.allrugby.com/joueurs/alex-moon-6201.html
Bayonne,Départs,Álvaro GARCÍA IANDOLINO,Argentine,2ème ligne,20 ans,ESPOIR NON JIFF,https://www.allrugby.com/joueurs/alvaro-garcia-iandolino-17394.html
Bayonne,Départs,Baptiste CHOUZENOUX,France,3ème ligne,32 ans,JIFF,https://www.allrugby.com/joueurs/baptiste-chouzenoux-2509.html
Bayonne,Départs,Manex ARICETA,Espagne,3ème ligne,22 ans,ESPOIR,https://www.allrugby.com/joueurs/manex-ariceta-12438.html
Bayonne,Départs,Nika LOMIDZE,Géorgie,3ème ligne,22 ans,ESPOIR,https://www.allrugby.com/joueurs/nika-lomidze-15265.html
Bayonne,Départs,Raphaël MARCHESIN,France,3ème ligne,20 ans,ESPOIR,https://www.allrugby.com/joueurs/raphael-marchesin-18338.html
Bayonne,Départs,Maxime MACHENAUD,France,Mêlée,37 ans,JIFF,https://www.allrugby.com/joueurs/maxime-machenaud-1202.html
Bayonne,Départs,Baptiste GERMAIN,France,Mêlée,25 ans,JIFF,https://www.allrugby.com/joueurs/baptiste-germain-7571.html
Bayonne,Départs,Gareth ANSCOMBE,Nouvelle-Zélande,Ouverture,35 ans,NON JIFF,https://www.allrugby.com/joueurs/gareth-anscombe-3354.html
Bayonne,Départs,Reece HODGE,Australie,Centre,31 ans,NON JIFF,https://www.allrugby.com/joueurs/reece-hodge-5007.html
Bayonne,Départs,Victor HANNOUN,France,Ailier,22 ans,JIFF,https://www.allrugby.com/joueurs/victor-hannoun-14460.html
Bayonne,Prolongations,Andy BORDELAI,France,Pilier,26 ans,JIFF,https://www.allrugby.com/joueurs/andy-bordelai-8888.html
Bayonne,Prolongations,Facundo BOSCH,Argentine,Talonneur,34 ans,NON JIFF,https://www.allrugby.com/joueurs/facundo-bosch-5142.html
Bayonne,Prolongations,Arthur ITURRIA,France,3ème ligne,32 ans,JIFF,https://www.allrugby.com/joueurs/arthur-iturria-3366.html
Bayonne,Prolongations,Baptiste TILLOLES,France,Mêlée,19 ans,ESPOIR,https://www.allrugby.com/joueurs/baptiste-tilloles-18994.html
Bayonne,Prolongations,Manu TUILAGI,Samoa,Centre,35 ans,NON JIFF,https://www.allrugby.com/joueurs/manu-tuilagi-2202.html
Bayonne,Prolongations,Guillaume MARTOCQ,France,Centre,26 ans,JIFF,https://www.allrugby.com/joueurs/guillaume-martocq-5844.html
Bayonne,Prolongations,Mateo CARRERAS,Argentine,Ailier,26 ans,NON JIFF,https://www.allrugby.com/joueurs/mateo-carreras-8163.html
Bayonne,Prolongations,Arnaud ERBINARTEGARAY,France,Ailier,25 ans,JIFF,https://www.allrugby.com/joueurs/arnaud-erbinartegaray-9716.html
Bayonne,Prolongations,Tom SPRING,France,Ailier,23 ans,JIFF,https://www.allrugby.com/joueurs/tom-spring-14458.html
